date,usage_kwh,day_of_week,weekend,holiday,vacation,exam_period,temp_c,humidity_pct,wind_dir_deg,wind_speed_ms,pressure_local_hpa,pressure_sea_hpa,solar_rad_mj_m2,sunshine_sec,precip_mm,strong_wind_warning,strong_wind_advisory,dry_advisory,heavy_snow_warning,heavy_snow_advisory,tropical_night,typhoon_warning,typhoon_advisory,heat_wave_warning,heat_wave_advisory,cold_wave_warning,cold_wave_advisory,heavy_rain_warning,heavy_rain_advisory,yellow_dust_warning,obs_minutes
2021-10-24,166168.08,Sunday,1,1,0,0,10.416180555555554,73.91701388888889,324.84606604473544,1.0594857539958304,1022.115,1026.997013888889,14.59,35640.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-10-25,192683.52,Monday,0,0,0,0,10.674375,74.92513888888888,298.7757322989865,1.0865277777777778,1018.9338194444445,1023.7997916666666,14.5,36420.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-10-26,192155.04,Tuesday,0,0,0,0,11.743988881167477,78.27769284225157,331.1185300316817,0.9952050034746351,1016.2392633773454,1021.0546212647673,12.41,32340.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-10-27,192783.6,Wednesday,0,0,0,0,13.09006254343294,70.07498262682418,311.5934937886616,2.071160528144545,1015.1005559416261,1019.8915913829048,14.32,33120.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-10-28,192426.48,Thursday,0,0,0,0,11.631063238359971,61.793606671299514,332.7901821818639,0.8886726893676163,1018.7562195969423,1023.6050729673384,14.96,36120.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-10-29,185940.72,Friday,0,0,0,0,14.101877607788595,60.01794158553547,102.28311662785765,1.5971488178025033,1020.5786509040335,1025.380528511822,14.39,34260.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438
2021-10-30,167909.76,Saturday,1,0,0,0,14.240347222222221,63.884375,113.2269679848274,1.4757638888888889,1019.471875,1024.2545833333334,8.77,13860.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-10-31,164725.92,Sunday,1,1,0,0,13.407013888888887,79.96319444444444,312.8129317949186,0.8700694444444446,1019.5378472222222,1024.3458333333333,11.06,31920.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-01,190950.48,Monday,0,0,0,0,12.289305555555554,81.939375,308.104914603787,1.421736111111111,1019.1826388888888,1024.0240277777777,11.79,28080.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-02,190515.6,Tuesday,0,0,0,0,10.93092425295344,80.51626129256428,290.20372618356555,1.2820708825573315,1017.8302988186241,1022.683043780403,11.6,29820.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-11-03,191883.6,Wednesday,0,0,0,0,11.265972222222222,77.63263888888889,301.19160851299495,1.096038915913829,1015.416111111111,1020.236875,12.18,31020.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-04,194417.28,Thursday,0,0,0,0,11.705281445448229,89.50173731758166,309.5060240011433,0.8726893676164003,1015.504169562196,1020.3333564975677,7.84,19200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-11-05,188629.92,Friday,0,0,0,0,11.994440583738708,73.20667129951356,3.542820572355341,0.9183460736622655,1016.7231410701877,1021.5428769979152,11.94,33360.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-11-06,166619.52,Saturday,1,0,0,0,13.255694444444446,65.17652777777778,354.1732600834939,1.0477777777777777,1016.2905555555554,1021.0880555555556,12.45,31200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-07,161422.56,Sunday,1,1,0,0,14.636091794158554,63.48275382475661,116.49257692095044,2.136509040333797,1015.6923504867873,1020.4656467315717,11.54,26040.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438
2021-11-08,196063.92,Monday,0,0,0,0,9.819652777777778,84.15729166666667,262.54417314157763,3.120138888888889,1007.5948611111112,1012.4144444444445,2.75,2100.0,39.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-09,197575.2,Tuesday,0,0,0,0,5.256458333333334,92.06020833333334,301.6527005071016,1.3702083333333333,1006.4463888888889,1011.3463888888889,3.79,4440.0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-10,207445.68,Wednesday,0,0,0,0,4.676597222222222,79.2317361111111,302.4301560152896,2.056080611535789,1004.0389583333334,1008.9481944444444,8.68,15240.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
